DATE,MRTSSM44112USN,RSCCASN,RSFSDPN,MRTSSM4453USN,RSFHFSN,MRTSSM7225USN,RSGASSN
3/1/2009,6017,15563,38458,3024,6907,33287,28450
4/1/2009,5652,16337,37813,3130,6608,32410,29437
5/1/2009,5442,17264,40247,3467,6974,34642,32958
6/1/2009,5654,15434,38355,3307,6922,33019,35945
7/1/2009,5477,16007,39224,3555,7194,33932,36339
8/1/2009,5748,17656,38887,3399,7159,33681,36980
9/1/2009,5195,15630,36575,3263,6967,30801,34348
10/1/2009,5199,17053,38250,3425,6853,32351,35025
11/1/2009,4654,18332,35513,3356,7375,30383,34342
12/1/2009,4761,27128,37546,4625,8401,32427,35249
1/1/2010,5127,13216,35513,2878,6324,30952,34145
2/1/2010,6300,14816,35359,2916,6468,30536,31888
3/1/2010,6580,17390,39374,3214,7271,34162,37234
4/1/2010,5957,17042,39393,3310,6729,33799,38297
5/1/2010,5857,17727,40785,3467,6932,35152,39168
6/1/2010,6195,16138,39421,3438,6902,34109,38208
7/1/2010,6183,16842,41024,3657,7243,35598,39054
8/1/2010,6288,17923,40308,3454,7330,34878,38541
9/1/2010,5971,16232,38361,3365,7101,32260,37170
10/1/2010,6123,17412,40150,3497,6793,34116,38480
11/1/2010,5604,20003,37447,3524,7630,32037,37073
12/1/2010,5522,28545,39785,4681,8482,34357,39091
1/1/2011,5976,13703,36961,2888,6244,32237,38018
2/1/2011,7295,15931,37394,2984,6488,32452,36669
3/1/2011,7661,18252,42036,3249,7530,36502,44349
4/1/2011,6446,18647,41761,3363,6896,35950,45853
5/1/2011,6260,18771,43020,3471,7086,37165,48245
6/1/2011,6460,17783,42080,3551,7039,36409,47514
7/1/2011,6348,17937,43301,3740,7241,37789,48200
8/1/2011,6438,19263,42385,3576,7685,36986,48320
9/1/2011,5951,17999,41383,3517,7450,35130,45443
10/1/2011,5710,18255,42415,3515,6967,36144,45115
11/1/2011,5530,20957,39703,3646,7931,34057,42976
12/1/2011,5642,31108,42911,4892,9029,37307,42755
1/1/2012,5889,14358,39644,2995,6866,34564,41406
2/1/2012,7728,17931,40931,3202,7169,35522,42218
3/1/2012,7757,20162,45647,3550,7784,39577,48397
4/1/2012,6811,18601,43755,3409,6872,37641,47664
5/1/2012,6667,19952,45479,3786,7683,39103,49198
6/1/2012,6658,18717,44892,3816,7378,38903,46483
7/1/2012,6411,18266,44506,3733,7551,38988,46658
8/1/2012,7237,20750,44936,3752,8064,39105,50195
9/1/2012,6383,18391,43027,3503,7439,36535,47201
10/1/2012,6450,18845,43577,3626,7260,37241,48983
11/1/2012,6167,22016,42472,3869,8260,36533,44434
12/1/2012,6070,31504,45295,5124,9216,39456,42582
1/1/2013,6776,15165,41805,3143,7303,36471,41762
2/1/2013,8422,17397,41503,3212,7100,36042,42229
3/1/2013,8288,20591,47577,3603,7891,41455,47730
4/1/2013,7460,19194,45573,3464,7333,39287,46815
5/1/2013,7251,20803,47505,3916,7860,41186,49195
6/1/2013,7039,18964,45461,3776,7587,39908,48486
7/1/2013,7041,19202,45501,3994,8013,40100,49825
8/1/2013,7360,21591,46916,4056,8503,41016,49563
9/1/2013,6330,18136,43666,3588,7890,37362,46072
10/1/2013,6782,19884,46074,3741,8109,39267,46517
11/1/2013,6281,22472,45295,4007,8895,38945,42397
12/1/2013,5685,31646,46608,5147,9250,40635,43172
